Cluster	Sample_Count	Samples	Has_PopPIPE_Data
3	167	IP-0081;GCF_001980775_1_Thailand;GCA_963568705_1;IP-0030;IP-0079;IP-0106;IP-0152;GCA_963572615_1;IP-0035;IP-0071;IP-0120;IE-0022;IP-0177;IP-0084;IP-0161;IP-0139;IP-0124;IP-0031;IP-0043;IP-0018;IP-0191;IP-0144;IP-0019;IP-0005;IP-0156;IP-0015;GCA_963565395_1;GCA_963566675_1;IP-0143;IP-0141;IE-0019;IP-0182;IP-0131;IP-0014;IP-0066;IP-0165;IP-0140;IE-0015;GCA_963563305_1;IP-0021;IP-0122;IP-0090;IP-0154;IP-0052;IE-0026;IE-0013;GCA_963567115_1;IP-0132;IP-0062;GCA_963560585_1;IP-0086;IP-0178;ERS008814;GCF_001321205_1_Thailand;ERS008834;GCF_001321185_1_Thailand;GCF_001321285_1_Thailand;GCF_001321565_1_Thailand;GCF_001202415_1_Thailand;GCF_001210705_1_Thailand;GCF_001321125_1_Thailand;ERS008805;GCF_001321405_1_Thailand;ERS008831;GCF_001977185_1_Thailand_Ubon;GCF_001321465_1_Thailand;GCF_001211405_1_Thailand;GCF_001197015_1_Thailand;ERS008807;GCF_001211565_1_Thailand;GCF_001321085_1_Thailand;GCF_001191815_1_Thailand;GCF_001210965_1_Thailand;GCF_001199195_1_Thailand;ERS008815;GCF_001212325_1_Thailand;GCF_001321585_1_Thailand;GCF_001320945_1_Thailand;GCF_001977245_1_Thailand_Ubon;ERS008847;GCF_001321065_1_Thailand;GCF_001321245_1_Thailand;GCF_001200615_1_Thailand;GCF_001977545_1_Thailand_Ubon;GCF_001321225_1_Thailand;GCF_001321625_1_Thailand;GCF_001197775_1_Thailand;ERS008832;ERS008842;GCF_001194765_1_Thailand;ERS008788;ERS008800;GCF_001196775_1_Thailand;GCF_001320985_1_Thailand;ERS008783;ERS008787;GCF_001320905_1_Thailand;GCF_001193655_1_Thailand;GCF_001197795_1_Thailand;ERS008789;GCF_001211505_1_Thailand;ERS008812;GCF_001321485_1_Thailand;GCF_001209505_1_Thailand;GCF_001199815_1_Thailand;GCF_001211865_1_Thailand;ERS008840;GCF_001204515_1_Thailand;GCF_001321325_1_Thailand;ERS008846;GCF_001321365_1_Thailand;ERS008811;ERS008839;GCF_001199695_1_Thailand;GCF_001321165_1_Thailand;GCF_001321385_1_Thailand;GCF_001193035_1_Thailand;GCF_001321545_1_Thailand;GCF_001192815_1_Thailand;GCF_001321505_1_Thailand;ERS008826;ERS008796;ERS008845;GCF_001321305_1_Thailand;ERS008799;GCF_001321425_1_Thailand;GCF_001320865_1_Thailand;GCF_001978015_1_Thailand_Ubon;GCF_001321445_1_Thailand;ERS008810;GCF_001321105_1_Thailand;ERS008780;GCF_001321145_1_Thailand;GCF_001192415_1_Thailand;GCF_001321015_1_Thailand;ERS008843;GCF_001321605_1_Thailand;ERS008818;GCF_001193615_1_Thailand;GCA_963564755_1;GCF_001977225_1_Thailand_Ubon;GCF_001321045_1_Thailand;ERS008802;GCF_001212025_1_Thailand;GCF_001321265_1_Thailand;GCF_001321345_1_Thailand;ERS008806;GCF_001211345_1_Thailand;ERS008793;ERS008801;ERS008779;GCF_001978045_1_Thailand_Ubon;ERS008823;GCF_001206495_1_Thailand;GCF_001977195_1_Thailand_Ubon;GCF_001321525_1_Thailand;ERS008808;GCF_001196125_1_Thailand;GCF_001207675_1_Thailand;GCF_001205935_1_Thailand;GCF_001977495_1_Thailand_Ubon;ERS008791;GCF_001320825_1_Thailand;GCF_001209405_1_Thailand;GCF_001208545_1_Thailand;GCF_001977525_1_Thailand_Ubon;ERS008827	True
32	56	IP-0006;IP-0037;GCF_001976275_1_Thailand;GCA_963562925_1;GCA_963570535_1;GCA_963561175_1;GCA_963561195_1;GCA_963562635_1;GCA_963566685_1;GCA_963570905_1;GCF_900596735_1_Thailand;GCA_963563265_1;GCF_900593035_1_Thailand;GCA_963568965_1;GCA_963572705_1;GCF_900596065_2_Thailand;GCA_963561185_1;GCF_900591505_1_Thailand;GCA_963565225_1;ERS012368;GCA_963569135_1;GCA_963566305_1;GCA_963569005_1;GCA_963568045_1;GCA_963570995_1;GCA_963567065_1;GCA_963561425_1;GCA_963565115_1;GCA_963571765_1;GCF_900596725_1_Thailand;GCA_963568725_1;GCA_963563365_1;GCA_963563165_1;GCA_963566365_1;GCA_963565435_1;GCA_963571025_1;GCA_963572815_1;GCA_001327495_2;GCF_900593005_1_Thailand;GCA_963572825_1;GCA_963562575_1;GCA_900596065_2;GCA_963565245_1;GCF_001327495_2_Thailand;GCA_963566995_1;GCF_900591565_1_Thailand;GCF_900591945_1_Thailand;GCA_963567375_1;GCF_001980735_1_Thailand;GCA_963572115_1;GCA_963573085_1;GCA_963567655_1;GCA_963569885_1;GCA_963568125_1;GCA_963564015_1;GCA_963562805_1	True
33	28	GCF_025848015_1_Viet_Nam;GCF_025847635_1_Viet_Nam;GCA_963566225_1;GCA_963564885_1;GCF_900593535_1_Thailand;GCA_963560905_1;GCA_963567255_1;GCA_963561115_1;GCA_963566135_1;GCA_963564035_1;GCF_900591645_1_Thailand;GCA_963561135_1;GCF_900591515_1_Thailand;GCA_963568245_1;GCA_963567605_1;GCA_963567645_1;GCF_900593875_1_Thailand;GCA_963566205_1;GCF_900592335_1_Thailand;GCA_963567235_1;GCA_963563885_1;GCA_963567945_1;GCA_963566235_1;GCA_963567365_1;GCA_963565775_1;GCA_963562545_1;GCA_963561505_1;GCA_963573875_1	True
34	15	GCF_014713055_1_Laos;GCF_014713085_1_Laos;GCA_963568835_1;GCF_001980645_1_Malaysia;GCA_963564005_1;GCF_001980625_1_Malaysia;GCA_963565875_1;GCF_037966645_1_China_Sanya_Hainan_Province;GCA_963571945_1;GCA_963560755_1;GCA_963562345_1;GCA_963565605_1;GCA_963571185_1;GCA_963560415_1;GCA_963571665_1	True
35	9	GCF_014713015_1_Laos;GCF_014712945_1_Laos;GCA_963562245_1;GCA_963570585_1;GCA_963569115_1;GCA_963564405_1;GCA_963570075_1;GCA_963561265_1;GCA_963569585_1	True
36	22	IP-0176;GCA_963573095_1;GCA_001327435_2;GCF_900594845_1_Thailand;GCF_900594805_1_Thailand;GCA_963567335_1;GCF_900594855_1_Thailand;GCF_900594885_1_Thailand;GCF_900594825_1_Thailand;GCF_900597515_1_Thailand;GCF_001327435_2_Thailand;GCF_900594775_2_Thailand;GCA_900594775_2;GCF_900594865_1_Thailand;GCA_963568185_1;GCA_963561675_1;GCF_900597575_1_Thailand;GCF_900594835_1_Thailand;GCA_963567025_1;GCF_900593885_1_Thailand;GCA_963561235_1;GCF_900594815_1_Thailand	True
37	6	GCA_963562965_1;IP-0096;GCA_963566815_1;GCA_963566655_1;GCA_963564685_1;GCA_963569675_1	True
39	35	GCA_963562235_1;IP-0184;GCF_001979455_1_unknown;GCA_963561945_1;GCA_963566005_1;GCA_963565355_1;GCF_900592805_1_Thailand;GCA_963564275_1;GCA_963562335_1;GCA_963566525_1;GCA_963566155_1;GCA_963567815_1;GCF_000757015_2_Thailand;GCF_001981045_1_Thailand;GCF_002887935_1_Thailand;GCF_900592625_1_Thailand;GCA_963564495_1;GCF_900593065_1_Thailand;GCA_963565165_1;GCA_963566055_1;GCA_963561125_1;GCA_963567725_1;GCA_963567275_1;GCA_963568445_1;GCA_963563895_1;GCA_963572805_1;GCA_963560355_1;GCA_963572875_1;GCA_963567015_1;GCA_963572015_1;GCA_963570095_1;GCA_963561865_1;GCA_963568465_1;GCF_001977435_1_Thailand_Ubon;GCA_963569165_1	True
4	32	ERS008833;ERS008794;ERS008829;ERS008844;ERS008841;ERS008795;ERS008798;ERS008825;ERS008821;ERS008824;ERS008809;ERS008838;ERS008813;ERS008804;ERS008784;ERS008790;ERS008819;ERS008837;ERS008785;ERS008797;ERS008803;ERS008822;ERS008835;ERS008786;ERS008792;ERS008820;ERS008828;ERS008817;ERS008816;ERS008830;ERS008836;ERS008781	True
42	15	GCF_001212405_2_Malaysia;ERS013345;GCA_963566265_1;GCF_900591665_1_Thailand;GCA_963571985_1;GCA_963570545_1;GCA_963565535_1;GCA_963562355_1;GCA_963567005_1;GCF_900592035_1_Thailand;GCA_963570525_1;GCF_900593455_1_Thailand;GCA_963572785_1;GCA_963562865_1;GCA_963564665_1	True
4_5_31_113	125	GCF_900597375_1_Thailand;GCA_900597335_2;GCA_963568805_1;GCF_001977125_1_Thailand_Ubon;GCA_963561255_1;GCA_963568655_1;GCA_963564655_1;GCF_900594635_1_Thailand;GCF_900592025_1_Thailand;GCA_963569265_1;GCA_963567215_1;GCF_900593205_1_Thailand;GCF_001980905_1_Thailand;GCF_009904375_1_Thailand_Ubon;GCF_900593645_1_Thailand;GCA_963567615_1;GCA_963573125_1;GCF_001977085_1_Thailand_Ubon;GCA_963571935_1;GCF_900592985_1_Thailand;GCF_900591595_1_Thailand;GCA_963569945_1;GCA_963569285_1;GCA_963571615_1;GCF_001977875_1_Thailand_Ubon;GCA_963563185_1;GCF_900598525_1_Thailand;GCF_900593025_1_Thailand;GCF_900597325_1_Thailand;GCA_963565315_1;GCA_900596175_2;GCA_963565025_1;GCF_900596685_1_Thailand;GCF_900594655_1_Thailand;GCF_900597415_1_Thailand;GCF_900596675_1_Thailand;GCA_963565755_1;GCF_900593915_1_Thailand;GCF_900592845_1_Thailand;GCA_963560635_1;GCA_963572535_1;GCF_900597345_1_Thailand;GCF_900593165_1_Thailand;GCA_963570475_1;GCA_963572575_1;GCF_900591535_1_Thailand;GCA_963568355_1;GCA_963568095_1;GCF_900595465_1_Thailand;GCA_900594595_2;GCF_900596175_2_Thailand;GCF_900591915_1_Thailand;GCF_900595575_1_Thailand;GCF_900595635_1_Thailand;GCA_963567435_1;GCA_963570925_1;GCA_963566195_1;GCA_963561335_1;GCA_963563315_1;GCA_900595385_2;GCA_963570945_1;GCF_900594435_1_Thailand;GCF_900598515_1_Thailand;GCF_009904355_1_Thailand_Ubon;GCA_963560375_1;GCF_001980985_1_Thailand;GCF_001976495_1_Thailand;GCA_963570115_1;GCF_002888135_1_Thailand;GCA_963571425_1;GCF_900594725_1_Thailand;GCA_963560365_1;GCF_900595595_1_Thailand;GCA_963569855_1;GCA_963564205_1;GCF_900594745_1_Thailand;GCA_963571695_1;GCF_900592945_1_Thailand;GCA_963560535_1;GCF_900597295_1_Thailand;GCF_900593715_1_Thailand;GCA_963560525_1;GCA_963566845_1;GCA_963561985_1;GCA_963568765_1;GCF_900591805_1_Thailand;GCF_900597335_2_Thailand;GCF_900594485_1_Thailand;GCF_900593085_1_Thailand;GCA_963561375_1;GCF_900596805_1_Thailand;GCA_963567585_1;GCF_900593125_1_Thailand;GCF_900597355_1_Thailand;GCF_900591605_1_Thailand;GCF_900591525_1_Thailand;GCF_900597775_1_Thailand;GCA_963569625_1;GCF_900595615_1_Thailand;GCF_900597315_1_Thailand;GCF_009904315_1_Thailand_Ubon;GCF_900594595_2_Thailand;GCA_963560835_1;GCF_900595435_1_Thailand;GCF_002888255_1_Thailand;GCF_001977815_1_Thailand_Ubon;GCF_009904095_1_Thailand_Ubon;GCF_900596255_1_Thailand;GCF_900592325_1_Thailand;GCA_963563535_1;GCA_963568695_1;GCA_963561015_1;GCF_001446155_1_missing;GCA_963566925_1;GCF_900592955_1_Thailand;GCF_900595385_2_Thailand;GCA_963571545_1;GCF_900597305_1_Thailand;GCF_900592175_1_Thailand;GCF_900594275_1_Thailand;GCF_900597365_1_Thailand;GCA_963567395_1;GCF_009904325_1_Thailand_Ubon;GCF_900593395_1_Thailand;GCA_963572445_1	True
5	29	IP-0082;ERS012306;GCF_025848135_1_Viet_Nam;ERS012320;IP-0099;ERS012324;ERS012358;IP-0174;ERS012354;ERS012347;ERS012351;ERS012356;ERS012359;ERS012317;ERS012380;ERS012327;ERS012370;ERS012307;ERS012312;ERS012363;ERS012308;ERS012313;ERS013342;ERS013353;GCA_963561075_1;ERS013352;ERS012314;IE-0001;ERS012332	True
50_51	30	GCA_963573035_1;GCA_963560785_1;GCA_963565815_1;GCF_900593935_1_Thailand;GCA_963562025_1;GCF_900591885_1_Thailand;GCA_963568775_1;GCA_963565255_1;GCA_963562915_1;GCA_963571295_1;GCA_963563215_1;GCA_963562435_1;GCF_900597395_1_Thailand;GCA_963571725_1;GCF_900592975_1_Thailand;GCA_963562095_1;GCA_963560715_1;GCA_963569355_1;GCA_963571245_1;GCA_963570515_1;GCA_963563025_1;GCA_963563625_1;GCA_963572045_1;GCA_963561725_1;GCA_963571955_1;GCA_963572095_1;GCA_963570015_1;GCA_963560325_1;GCA_963572165_1;GCA_963561955_1	True
53	32	IP-0009;GCA_963565895_1;GCA_963566285_1;GCA_963568305_1;GCA_900596705_2;GCA_963573155_1;GCA_963563445_1;GCF_900591935_1_Thailand;GCF_900592795_1_Thailand;GCA_900597485_2;GCF_900593305_1_Thailand;GCF_900597585_1_Thailand;GCA_963569245_1;GCF_900596705_2_Thailand;GCA_963563905_1;GCA_963567975_1;GCF_900597485_2_Thailand;GCF_900597495_1_Thailand;GCA_963560985_1;GCF_900597535_1_Thailand;GCA_963564475_1;GCF_900593335_1_Thailand;GCF_900591265_1_Thailand;GCF_001976685_1_Thailand;GCF_900592255_1_Thailand;GCA_963567825_1;GCA_963561345_1;GCA_963567755_1;GCA_963571335_1;GCA_963570325_1;GCF_900596715_1_Thailand;GCF_002880965_1_Thailand	True
54	15	IE-0009;GCA_963565075_1;GCA_963566445_1;GCA_963563435_1;GCA_963561535_1;GCA_963572025_1;GCF_900593055_1_Thailand;GCA_963568425_1;GCA_963568555_1;GCA_963563545_1;GCA_963567785_1;GCA_963563275_1;GCA_963563125_1;GCA_963566485_1;GCA_963562935_1	True
56	9	GCF_002111145_1_USA_Arizona_ex_Costa_Rica;GCF_900593105_1_Thailand;GCA_963561105_1;GCA_963562015_1;GCF_900598305_2_Thailand;GCA_963564295_1;GCA_963567245_1;GCA_963568595_1;GCF_900596085_1_Thailand	True
57	8	GCF_002111105_1_USA_California;GCF_001976865_1_Thailand_Ubon;GCA_963564815_1;GCF_900594645_1_Thailand;GCF_900594685_1_Thailand;GCF_900591725_1_Thailand;GCF_900595585_2_Thailand;GCF_900597505_1_Thailand	True
6	95	GCF_009826725_1_Viet_Nam;ERS013348;GCF_003268075_1_Viet_Nam;GCF_009827035_1_Viet_Nam;ERS012334;GCF_001212705_2_Malaysia;GCA_963569705_1;GCF_003268105_1_Viet_Nam;ERS012340;GCF_003268115_1_Viet_Nam;IE-0018;ERS013354;GCF_001326935_2_Malaysia;ERS012338;ERS012311;ERS012372;GCF_001204275_1_Singapore;GCA_001327335_2;GCF_001327015_1_Singapore;GCF_001182285_1_missing;GCF_001262315_1_Singapore;GCF_001327255_2_Singapore;GCF_018228545_1_Singapore;GCF_018228525_1_Singapore;GCF_001205635_1_Singapore;ERS012374;GCF_001327215_2_Singapore;GCF_001327055_2_Singapore;GCF_001320685_1_Singapore;ERS012336;GCF_001326915_1_Singapore;GCF_001327115_1_Singapore;GCF_001326975_1_Singapore;ERS012339;ERS012319;ERS012342;GCF_032804145_1_Malaysia_Kelantan;GCA_001327295_2;GCF_030297315_1_not_applicable;ERS012352;GCF_006538545_1_NA;ERS012333;ERS012315;GCF_030297255_1_USA;GCF_001211705_1_Singapore;ERS012322;GCF_001262355_1_Singapore;GCF_001202135_1_Singapore;GCA_001327255_2;GCF_001182325_1_missing;GCF_030297195_1_Singapore;ERS012348;ERS012379;ERS012310;GCF_001320615_1_Singapore;GCF_030297355_1_not_applicable;ERS012383;ERS012323;GCF_001204155_1_Singapore;ERS012355;GCF_001320325_1_Singapore;GCF_900006245_1_missing;GCF_032803905_1_Malaysia_Kelantan;ERS013344;GCF_001327335_2_Singapore;GCF_018228345_1_Singapore;GCF_001327535_1_Singapore;GCF_001197955_1_Singapore;GCF_001194905_1_Singapore;GCF_001206455_1_Singapore;GCF_019843765_1_Singapore;GCA_001327215_2;GCF_001320255_1_Singapore;GCF_018228565_1_Singapore;GCF_001195465_1_Singapore;ERS012350;GCF_001320725_1_Singapore;GCF_018228605_1_Singapore;ERS012337;GCF_001327515_1_Singapore;GCF_001211245_1_Singapore;GCA_001327355_2;GCF_001320425_1_Singapore;GCF_001327355_2_Singapore;GCF_001211305_1_Singapore;GCF_001320365_1_Singapore;GCF_001327295_2_Singapore;ERS012375;GCF_018228585_1_Singapore;GCF_001320145_1_Singapore;GCF_018228385_1_Singapore;GCF_001320395_1_Singapore;GCF_001233045_1_Singapore;GCA_001327055_2;GCF_001210645_1_Singapore	True
60	9	GCF_000774965_1_Australia;GCF_900592635_1_Thailand;GCF_900592085_1_Thailand;GCF_000757035_2_Viet_Nam;GCF_900592545_1_Thailand;GCA_963570785_1;GCA_963567345_1;GCF_000152345_1_missing;GCF_900593245_1_Thailand	True
61_118	15	GCA_963565035_1;GCF_000193455_1_missing;GCA_963562855_1;GCF_000012785_1_missing;GCA_963566835_1;GCF_000763555_1_unknown;GCF_001978115_1_Thailand_Ubon;GCF_900591905_1_Thailand;GCF_000757255_1_unknown;GCA_963564765_1;GCF_900594455_1_Thailand;GCF_001978085_1_Thailand_Ubon;GCA_963566575_1;GCF_001978105_1_Thailand_Ubon;GCF_001978125_1_Thailand_Ubon	True
66	6	GCA_963572755_1;GCA_963572525_1;GCF_900592875_1_Thailand;GCA_963572775_1;GCA_963568895_1;GCA_963560995_1	True
7	85	IP-0173;IP-0053;IP-0179;IP-0033;GCF_014712835_1_Laos;IP-0095;IP-0061;GCA_963561215_1;IP-0113;IP-0114;GCA_963561435_1;GCF_014712895_1_Laos;ERS013343;GCF_902141805_1_missing;GCA_001326935_2;GCF_900593235_1_Thailand;GCF_900596135_1_Thailand;GCA_963570695_1;GCF_001197235_1_Singapore;ERS013350;GCF_000401095_2_Malaysia;GCF_032803965_1_Malaysia_Kelantan;GCF_900596125_1_Thailand;GCA_963566725_1;GCF_900598545_1_Thailand;GCF_013371835_1_China_Hainan;GCA_963568905_1;GCF_001642555_1_Bangladesh;ERS013347;GCF_001212185_1_Singapore;GCF_900446265_1_missing;GCF_001327075_1_Singapore;GCF_032804025_1_Malaysia_Kelantan;GCF_000401135_2_Malaysia;GCF_900593985_1_Thailand;GCA_963571275_1;GCF_900598585_1_Thailand;GCF_900598575_1_Thailand;GCF_900596075_1_Thailand;ERS012341;GCF_013371875_1_China_Hainan;GCA_963569155_1;GCF_002900665_1_Malaysia;GCF_030297335_1_not_applicable;GCA_963564245_1;GCA_963567535_1;GCA_963569745_1;GCF_001320215_1_Singapore;GCF_001327155_1_Singapore;GCA_963570705_1;ERS012382;GCF_024506485_1_Malaysia_Pahang_Kuantan;GCF_001200935_1_Singapore;GCA_963570315_1;GCA_963561705_1;GCA_963567805_1;GCF_000401115_2_Malaysia;GCF_003268175_1_Viet_Nam;GCF_900598565_1_Thailand;GCA_963563695_1;GCF_028621475_1_missing;GCA_963569715_1;ERS012335;GCA_963570615_1;SRR12527886-SPAdes;GCA_963562465_1;GCF_032804085_1_Malaysia_Kelantan;GCF_001182265_1_missing;GCF_900596195_1_Thailand;GCF_025848195_1_Viet_Nam;GCF_900593555_1_Thailand;GCA_001212705_2;GCF_003546995_3_Malaysia;GCA_963570825_1;GCA_963570425_1;GCA_963570045_1;GCF_002900645_1_Malaysia;GCF_001212465_1_Singapore;GCF_000401075_2_Malaysia;GCF_003268095_1_Viet_Nam;GCF_013371905_1_China_Hainan;GCF_900596145_1_Thailand;GCF_000932145_1_New_Zealand;GCF_030297295_1_Japan;GCF_013371815_1_China_Hainan	True
71	6	GCA_963565085_1;GCF_900595605_1_Thailand;GCA_963562845_1;GCA_963561165_1;GCA_963565285_1;GCA_963562685_1	True
78	10	GCF_900598315_1_Thailand;SRR12527881-SPAdes;SRR12527882-SPAdes;GCF_028620425_1_missing;SRR12527880-SPAdes;GCF_001611585_1_Portugal_Lisbon;GCA_963571595_1;GCF_001979435_1_unknown;GCF_028621445_1_missing;GCF_001445855_1_missing	True
79	7	GCA_963563755_1;GCA_963564855_1;GCA_963562725_1;GCA_963566745_1;GCF_001977425_1_Thailand_Ubon;GCA_963566915_1;GCA_963571195_1	True
8	142	GCF_009830095_1_Thailand;IP-0150;GCF_014712775_1_Laos;IP-0092;IP-0016;GCF_014712815_1_Laos;GCF_009830075_1_Thailand;IE-0004;IP-0089;GCA_963570105_1;IP-0126;GCA_963571555_1;GCF_001212065_1_Singapore;GCA_900594665_2;GCF_027856435_2_China_Hong_Kong;GCF_900598185_2_Thailand;SRR11097784-SPAdes;GCF_900595965_2_Thailand;GCA_900598295_2;GCA_963572375_1;ERS012329;GCF_027856575_2_China_Hong_Kong;GCF_027856405_2_China_Hong_Kong;GCA_963572585_1;GCA_963571215_1;GCF_027854025_2_China_Hong_Kong;GCF_900593175_1_Thailand;GCF_900598365_1_Thailand;GCA_963567475_1;GCF_027856495_2_China_Hong_Kong;GCF_900598285_1_Thailand;GCF_900598715_1_Thailand;GCA_963565445_1;GCF_900592125_1_Thailand;GCF_027856745_2_China_Hong_Kong;GCF_900595985_1_Thailand;GCA_963564605_1;GCF_027856965_2_China_Hong_Kong;GCF_900591355_1_Thailand;GCF_900592655_1_Thailand;GCA_963567125_1;GCF_027856375_2_China_Hong_Kong;GCF_900596055_1_Thailand;GCA_963571825_1;GCF_900595785_1_Thailand;GCF_900598345_1_Thailand;GCF_027856475_2_China_Hong_Kong;GCF_900591715_1_Thailand;GCF_900598375_1_Thailand;GCF_900592535_1_Thailand;SRR11097783-SPAdes;GCF_027856915_2_China_Hong_Kong;GCF_900598195_1_Thailand;GCF_900593865_1_Thailand;GCA_963568605_1;GCF_032804045_1_Malaysia_Kelantan;GCF_027856595_2_China_Hong_Kong;GCF_032804005_1_Malaysia_Kelantan;GCA_963560625_1;GCF_027854015_2_China_Hong_Kong;GCF_900595975_1_Thailand;GCA_963565925_1;GCF_027856715_2_China_Hong_Kong;GCF_900596045_1_Thailand;GCF_900592855_1_Thailand;GCF_900598205_1_Thailand;GCA_963566125_1;GCF_027856655_2_China_Hong_Kong;GCA_963564135_1;GCF_900598175_1_Thailand;GCF_027856515_2_China_Hong_Kong;GCF_032803865_1_Malaysia_Kelantan;GCF_900592485_1_Thailand;GCF_900593825_1_Thailand;GCF_027856635_2_China_Hong_Kong;GCF_027853925_2_China_Hong_Kong;GCA_963564105_1;GCF_001327035_2_Malaysia;GCF_027856395_2_China_Hong_Kong;GCA_963569815_1;GCF_900595855_1_Thailand;GCF_027856555_2_China_Hong_Kong;GCF_900596095_1_Thailand;GCA_963568295_1;GCF_900598355_1_Thailand;GCF_027856445_2_China_Hong_Kong;GCF_900598245_1_Thailand;GCF_900596005_1_Thailand;GCF_900596035_1_Thailand;GCA_963563485_1;GCA_963561205_1;GCF_900598335_1_Thailand;GCF_900598215_1_Thailand;GCF_027856535_2_China_Hong_Kong;GCA_963570445_1;GCA_963565495_1;GCA_963561525_1;GCA_963570655_1;GCA_900598185_2;GCF_027856775_2_China_Hong_Kong;GCF_900598225_1_Thailand;GCF_027856675_2_China_Hong_Kong;GCF_900593385_1_Thailand;GCF_032803985_1_Malaysia_Kelantan;GCF_900598255_1_Thailand;GCA_963569955_1;GCF_027856845_2_China_Hong_Kong;GCF_900596105_1_Thailand;GCA_963562715_1;GCF_900598295_2_Thailand;GCF_027856735_2_China_Hong_Kong;GCF_900598235_1_Thailand;GCA_963567045_1;GCF_032803945_1_Malaysia_Kelantan;GCA_963566955_1;GCF_027856355_2_China_Hong_Kong;GCF_900597545_1_Thailand;GCA_001327035_2;GCF_027853995_2_China_Hong_Kong;GCF_900592695_1_Thailand;GCA_963566825_1;GCF_900596025_1_Thailand;GCF_001277975_1_Malaysia_Pahang;GCA_963563795_1;GCF_900598325_1_Thailand;GCF_027856335_2_China_Hong_Kong;GCF_900598265_1_Thailand;GCA_963566875_1;GCF_900598275_1_Thailand;GCA_963572735_1;GCF_900593835_1_Thailand;GCF_027856815_2_China_Hong_Kong;GCA_963565465_1;GCF_004842085_1_China_HainanWenchang;GCF_027856695_2_China_Hong_Kong;GCF_032804125_1_Malaysia_Kelantan;GCF_032803885_1_Malaysia_Kelantan;GCF_900595645_1_Thailand;GCF_900598395_1_Thailand;GCF_900594665_2_Thailand;GCF_900591345_1_Thailand;GCA_900595965_2	True
87	13	GCF_900591465_1_Thailand;GCA_963570165_1;GCF_000453005_1_Thailand;GCF_900592835_1_Thailand;GCF_000755905_1_unknown;GCF_900591815_1_Thailand;GCF_900593995_1_Thailand;GCA_963567985_1;GCF_900592465_1_Thailand;GCF_900592385_1_Thailand;GCA_963571895_1;GCA_963572765_1;GCA_963567385_1	True
9	27	IP-0025;IP-0063;IP-0020;IP-0046;GCA_963570085_1;IP-0028;GCF_000410895_1_Thailand;IP-0125;IP-0160;GCF_900591865_1_Thailand;GCA_963565455_1;GCF_000755825_1_unknown;GCA_963571045_1;GCA_963569485_1;GCA_963563745_1;GCA_963569755_1;GCA_963572105_1;GCA_963572635_1;GCA_963566335_1;GCF_000959145_1_Thailand;GCF_000152685_2_missing;GCA_963572555_1;GCA_963562595_1;GCA_963570405_1;GCA_963565145_1;GCA_963566515_1;GCA_963563605_1	True
90	18	GCA_963563855_1;GCF_001976825_1_Thailand_Ubon;GCF_001445915_1_missing;GCA_963561665_1;GCA_963567405_1;GCA_963564515_1;GCA_963566945_1;GCF_001976805_1_Thailand_Ubon;GCA_963569125_1;GCF_900594155_1_Thailand;GCF_900591445_1_Thailand;GCF_001976885_1_Thailand_Ubon;GCF_900593675_1_Thailand;GCA_963560505_1;GCA_963564575_1;GCF_001976815_1_Thailand_Ubon;GCA_963567035_1;GCA_963564935_1	True
94	17	GCF_025847475_1_Viet_Nam;GCF_025848095_1_Viet_Nam;GCF_025848245_1_Viet_Nam;GCF_025847885_1_Viet_Nam;GCF_025847955_1_Viet_Nam;GCF_030131805_1_Viet_Nam_Northern_part_of_Viet_Nam;GCF_034317845_1_Viet_Nam;GCF_034317885_1_Viet_Nam;GCF_025847855_1_Viet_Nam;GCF_034317905_1_Viet_Nam;GCF_025847505_1_Viet_Nam;GCF_025847445_1_Viet_Nam;GCF_025848205_1_Viet_Nam;GCF_025847555_1_Viet_Nam;GCF_025847575_1_Viet_Nam;GCF_030131765_1_Viet_Nam_Northern_part_of_Viet_Nam;GCF_025847595_1_Viet_Nam	True
98	9	GCF_003813945_1_Puerto_Rico_ARECIBO;GCF_003813825_1_Puerto_Rico_Arecibo;GCF_002110965_1_USA_Florida_ex_Trinidad;GCF_003854325_1_Puerto_Rico_Arecibo;GCF_002111265_1_USA_Puerto_Rico;GCF_002111065_1_USA_Puerto_Rico;GCF_003944665_1_Puerto_Rico_Arecibo;GCF_002111025_1_USA_Puerto_Rico;GCF_003858035_1_Puerto_Rico_Arecibo	True
